Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,17/07/2024 11:15,6.16,336,0:31:23,133,156,2.2,162,172,5:06,3:59,--,--,1.23,8.3,10.1,266,--,336,0,330,449,"5,048",No,00:15.6,9,0:30:52,0:31:23,--,--
Running,26/08/2025 8:53,12.02,840,0:59:06,173,189,5,163,169,4:55,4:03,98,98,1.25,8.1,10.2,264,4:53,370,0,366,470,"9,572",No,00:00.5,14,0:59:04,0:59:06,8,40
Running,30/08/2024 7:36,10.02,779,0:50:12,173,191,4.1,163,168,5:01,4:35,17,13,1.22,8.2,10.1,266,5:01,352,0,351,442,"8,128",No,00:05.1,11,0:50:09,0:50:12,4,12
Running,18/08/2024 7:07,6.02,358,0:29:39,126,138,2.4,163,169,4:56,4:28,7,9,1.24,8.1,10.1,264,4:57,355,0,354,439,"4,802",No,00:04.0,7,0:29:38,0:29:39,3,10
Running,16/11/2024 8:07,12.01,853,0:59:25,162,190,4.3,164,169,4:57,3:38,15,15,1.23,8.1,10,263,4:57,354,0,354,499,"9,712",No,00:01.2,14,0:59:22,0:59:25,1,8
Running,12/11/2024 6:57,10.02,686,0:47:52,154,188,3.7,164,200,4:47,3:34,18,19,1.28,8,10.2,260,4:47,370,0,369,504,"7,816",No,00:01.4,12,0:47:49,0:47:52,-3,4
Running,02/09/2024 7:17,5.01,306,0:22:25,137,143,2.5,164,170,4:28,4:10,3,6,1.36,7.7,10.5,254,4:30,393,0,391,457,"3,648",No,00:02.7,6,0:22:24,0:22:25,4,10
Running,21/08/2024 7:37,7.02,515,0:34:01,165,188,3.6,164,171,4:51,4:35,6,7,1.26,8.1,10.1,261,4:51,363,0,362,429,"5,536",No,00:04.1,8,0:33:59,0:34:01,3,8
Running,12/07/2024 7:37,6.02,401,0:28:46,155,187,3.3,165,170,4:47,4:26,6,36,1.27,8,10.2,259,4:48,357,0,356,408,"4,692",No,00:02.1,8,0:28:45,0:28:46,5,13
Treadmill Running,25/06/2024 18:07,4.96,346,0:23:20,169,185,3.9,165,174,4:42,3:56,--,--,1.29,7.8,10.1,254,--,361,0,355,445,"3,844",No,00:00.7,9,0:23:06,0:23:25,--,--
Running,10/11/2024 7:01,5.01,314,0:22:02,146,192,3,166,202,4:24,3:37,7,9,1.37,7.6,10.4,250,4:25,400,0,399,509,"3,614",No,00:01.6,6,0:22:01,0:22:02,0,8
Treadmill Running,27/06/2024 18:15,5.09,331,0:23:59,160,198,3.7,167,183,4:42,3:47,--,--,1.28,7.8,9.9,252,--,360,0,353,452,"3,988",No,00:23.1,6,0:23:51,0:23:59,--,--
Treadmill Running,23/07/2024 13:30,5.08,306,0:23:02,149,185,3,168,176,4:32,3:36,--,--,1.32,7.7,10,248,--,368,0,365,469,"3,874",No,00:17.9,6,0:22:57,0:23:02,--,--
